LVL;WOOD;CLAY;IRON;FARM_PLACE;PROD
1;75;65;70;10;30
2;94;83;87;2;35
3;118;106;108;2;41
4;147;135;133;2;47
5;184;172;165;3;55
6;231;219;205;3;64
7;289;279;254;4;74
8;362;356;316;4;86
9;453;454;391;5;100
10;567;579;485;6;117
11;710;738;602;7;136
12;889;941;746;8;158
13;1113;1200;925;10;184
14;1393;1529;1147;11;214
15;1744;1950;1422;13;249
16;2183;2486;1764;15;289
17;2734;3170;2187;18;337
18;3422;4042;2712;21;391
19;4285;5153;3363;25;455
20;5365;6571;4170;28;530
21;6717;8378;5170;34;616
22;8409;10681;6411;39;717
23;10528;13619;7950;46;833
24;13181;17364;9858;54;969
25;16503;22139;12224;63;1127
26;20662;28227;15158;74;1311
27;25869;35990;18796;86;1525
28;32388;45887;23307;100;1774
29;40549;58506;28900;118;2063
30;50768;74595;35837;138;2400
