LVL;WOOD;CLAY;IRON;FARM_PLACE;PROD
1;50;60;40;5;30
2;63;77;50;1;35
3;78;98;62;1;41
4;98;124;77;1;47
5;122;159;96;1;55
6;153;202;120;1;64
7;191;258;149;2;74
8;238;329;185;2;86
9;298;419;231;2;100
10;373;534;287;2;117
11;466;681;358;3;136
12;582;868;446;3;158
13;728;1107;555;4;184
14;909;1412;691;5;214
15;1137;1800;860;5;249
16;1421;2295;1071;5;289
17;1776;2926;1333;7;337
18;2220;3731;1659;8;391
19;2776;4757;2066;9;455
20;3469;6065;2572;10;530
21;4337;7733;3202;12;616
22;5421;9860;3987;14;717
23;6776;12571;4963;16;833
24;8470;16028;6180;19;969
25;10588;20436;7694;21;1127
26;13235;26056;9578;24;1311
27;16544;33221;11925;29;1525
28;20680;42357;14847;33;1774
29;25849;54005;18484;38;2063
30;32312;68857;23013;43;2400
